Text,Sentiment
Reckitt Benckiser names Nitish Kapoor as India MD,0
"Which is better, real estate or stocks?",0
"RBI, bourses weigh dollar delivery in futures trade",0
RBI Deputy Governor Anand Sinha retires,0
Cash rates stabilise after RBI's MSF auction,0
RBI moves to curb novel bond structure,0
What to expect from RBI policy tomorrow,0
RBI bets on 'shut period' to improve liquidity,0
RBI tightens provisioning norms for unhedged forex exposure,0
Raw material bull market fades as supply expands,0
Ranbaxy for short term: Deepak Mohoni,0
Upside capped at 90 for Ramsarup: Siddth Capital,0
Rallis India to launch branded pomegranates,0
Stay with quality stocks: Deven Choksey,0
Puravankara Projects gives 70% dividend to non-promoters,0
Pulses futures remain steady in thin trade,0
Pulses remain flat in thin trade,0
Pulses remain steady in thin trade,0
Pulses prices end steady in tight movements,0
Prices of pulses remain steady in thin trade,0
PTC India appoints Deepak Amitabh as CMD,0
"Finally, PSU-ETF launched; subscription from next week",0
PSU bonds match equity returns in fourth quarter,0
Principal MF appoints PVK Mohan as Head-Equity,0
PricewaterhouseCoopers to conduct special audit of MCX,0
"Neutral on power sector: Pankaj Pandey, ICICI Direct",0
Overseas funds plug into power gear makers,0
Participate in power through other sectors: Vijai Mantri,0
PNB: Asset quality improves but payout cut disturbing,0
Long-term investors may go for PMC Infratechs IPO,0
Sameer Garde appointed Philips Healthcare South Asia President,0
Things that influence pharmaceutical sector growth story,0
Seven rules for investing in penny stocks,0
Pegasystems Inc acquires MeshLabs Software,0
Parabolic Drugs IPO opens on June 14,0
OnMobile appoints Sanjay Bhambri as Regional VP,0
Sudhir Vasudeva to head ONGC,0
Britain FTSE regains traction as oil steadies,0
Experts' call on oil marketing companies,0
Oil ends steady in thin trade,0
Oil prices mixed in Asian trade,0
Oil takes breather in Asian trade,0
Oil prices turn mixed in Asian trade,0
Put OI concentration at 6000 shows support,0
OBC may go for FPO post-capital infusion,0
NTPC files for FPO,0
NSEL appoints five new independent directors,0
NSE sees senior level changes,0
NSE operationalises SME platform with first listing,0
"Options suggest range of 8,000-8,300 for NSE",0
NSE directs brokers to implement risk reduction mode,0
NSE to begin overnight investment facility from Monday,0
"Nomura sees Sensex at 33,500 by year-end",0
"Nothing alarming about Nifty level: Deepak Mohoni, trendwatchindia.com",0
Nifty likely to trade in 7500-7700 range,0
Nifty will revisit 7930-7940 levels: Mitesh Thacker,0
Today's Bet: 5100-5300 level crucial for Nifty,0
5450-5500 is possible on Nifty: Aptart Technical Services,0
"Immediate target for Nifty at 7,935-7,940: Mitesh Thacker",0
Nifty may retest levels of 8000: Mitesh Thacker,0
Nifty might consolidate between 8950-8980 levels: Mitesh Thacker,0
Nifty to find next support at 5950 level,0
"Nifty50 to find support at 7,950-7,930: Mitesh Thacker",0
Pre-market: Nifty seen opening flat; Economic Survey eyed,0
Pre-market: Nifty seen opening flat; may reclaim 8800,0
See Nifty heading towards 5180-5150 levels: Ashwani Gujral,0
NHPC: Timely completion of projects crucial for company,0
Network18 names Anuj Gandhi as Group distribution director,0
Should you buy Nestle India now?,0
T Nandakumar to be appointed NDDB Chairman,0
NCDEX mulls relaunch of Brent contract soon,0
"Exporters, traders flock to NCDEX's forwards segment",0
NCDEX launches new membership category for forwards segment,0
"NCDEX spot turnover may reach Rs 7,000 crore",0
Nasdaq eyes running dark pools for banks: WSJ,0
Nasdaq Record: Then and Now,0
"MTS appoints heads of Karnataka, UP (West) circles",0
Kuldip Singh named new CMD of MTNL,0
D-Street shakeup may be triggered by MSCI rejig,0
MRPL records Rs 406 crore net profit,0
"For Mphasis, watch for 345-350 level: Ashwani Gujral",0
Moser Baer postpones bondholders meet on debt restructuring,0
"Centre, states gear up for MOIL offer",0
Mini Indian Rupee futures launched in Dubai,0
MindTree board accepts Sootas resignation,0
Microsoft is tuning its phones for India coverage,0
"Mercedes India appoints new heads for sales, marketing",0
MEP Infrastructure's Rs 324 crore IPO opens tomorrow,0
"July 1, 2014: Mecklai Financial report on Rupee",0
"July 10, 2014: Mecklai Financial report on Rupee",0
"July 16, 2014: Mecklai Financial report on Rupee",0
"July 31, 2014: Mecklai Financial report on Rupee",0
"July 9, 2014: Mecklai Financial report on Rupee",0
"June 11, 2014: Mecklai Financial report on Rupee",0
"June 17, 2014: Mecklai Financial report on Rupee",0
"June 25, 2014: Mecklai Financial report on Rupee",0
"Mecklai Financial Report: 22 September, 2014",0
"Mecklai Financial Report: Novermber 03, 2014",0
"Mecklai Financial Report: October 10, 2014",0
"Mecklai Financial Report: October 7, 2014",0
"Mecklai Financial Report: September 08, 2014",0
"Mecklai Financial Report: September 29, 2014",0
"April 02, 2014: Mecklai Financial report on rupee",0
"April 14, 2014: Mecklai Financial report on rupee",0
"April 16, 2014: Mecklai Financial report on rupee",0
"August 1, 2014: Mecklai Financial report on Rupee",0
"August 7, 2014: Mecklai Financial report on Rupee",0
"February 5, 2014: Mecklai Financial report on rupee",0
"January 03, 2014: Mecklai Financial report on rupee",0
"January 07, 2014: Mecklai Financial report on rupee",0
"January 11, 2014: Mecklai Financial report on rupee",0
"January 15, 2014: Mecklai Financial report on rupee",0
"March 04, 2014: Mecklai Financial report on rupee",0
"March 15, 2014: Mecklai Financial report on rupee",0
"May 29, 2014: Mecklai Financial report on rupee",0
"November 05, 2013: Mecklai Financial report on rupee",0
"November 13, 2013: Mecklai Financial report on rupee",0
"November 27, 2013: Mecklai Financial report on rupee",0
"November 28, 2013: Mecklai Financial report on rupee",0
"September 1, 2014: Mecklai Financial report on Rupee",0
"MCX-SXCCL seeks candidates for Managing Director, CEO post",0
MCX-SX is well ring-fenced from NSEL crisis: Sebi,0
MCX shares financial details with FTIL financial adviser,0
MCX CFO Hemant Vastani resigns,0
MCX migrates to latest version of exchange software,0
MCX plans to launch spot trading in gold?,0
McAfee appoints Anand Prahlad as India Operations head,0
Maytas Infra to consider share issue July 19,0
Max Life Insurance proposes maiden dividend for shareholders,0
Maruti Gujarat plans: Will small investors be shortchanged?,0
Games fund managers play in Maruti,0
Maruti may get re-rated post Diwali: Prakash Diwan,0
Market downside capped likely at 7550 levels,0
Market on a consolidating mode: Mitesh Thacker,0
Marico Kaya to be listed on bourses,0
Manappuram Finance launches another public issue,0
Manappuram Finance launches another public issue,0
MakeMyTrip posts Q4 net profit of $3.7 mn,0
Mahanagar Gas files IPO papers with Sebi,0
Madras Stock Exchange to close doors?,0
Macquarie initiates neutral rating on Lupin,0
M&M probably retest levels around 550: Ashwani Gujral,0
Hosiery maker Lux Industries to debut on NSE,0
Lux Industries lists on NSE at Rs 3342.05,0
US Generic launches are key to Lupin growth,0
Lamy names William Penn official distributor in India,0
Shareholding norms: L&T Finance Holdings explores various options,0
L&T: Analysts' views & recommendations on the stock,0
Five things to know about KYC Registration Agency,0
Kirloskar Engines India turns Kirloskar Oil Engines India,0
"Kalindee Rail is thinly traded: Sandeep Wagle, APTART",0
Jyothy Laboratories rejigs top management,0
"JPMorgan shuffles CFO, other execs",0
JK Tyre & Industries to consider stock split,0
Jindal SAW appoints Neeraj Kumar as group CEO,0
"JGBs mixed, underpinned by solid 5-year auction results",0
JGBs steady at lofty levels as stocks slump,0
Q1 earnings analysis: Jammu and Kashmir Bank,0
Jaggery prices steady in thin trade,0
"ITC Q2 profit at Rs 2,425.16 crore",0
What can be expected from ITC Q3 results?,0
Be tactful on IT stocks: Deven Choksey,0
Stock-specific action likely on IT counters: Nitin Raheja,0
Stock-specific action likely on IT counters: Nitin Raheja,0
Decoding the cryogenic engine used in ISRO launch,0
Ircon declares Rs 64 crore dividend for 2011-12,0
Ingersoll Rand appoints Madhusudan Rao as CFO,0
Check out experts' recommendations on infra stocks,0
Infosys' S Gopalakrishnan is the new CII President,0
Infosys appoints Kanchinadam as Chief Compliance Officer,0
Infosys elevates Pravin Rao as whole-time director,0
What brokerages are expecting from Infosys Q4 results,0
Why long-term investors should stay invested in Infosys,0
Smart things to know about inflation-indexed bonds,0
Inflation indexed bonds to be modified: RBI DG,0
Infinite Computer to enter market,0
IndiGo staff keep off airline's IPO,0
Calculus that drives Indian Railways,0
Mark Mobius expects 15-20% returns from Indian markets,0
Mark Mobius expects 15-20% returns from Indian markets,0
"Indian market retains trillion-dollar tag, for now",0
Jignesh Shah quits Indian Energy Exchange board,0
How India Inc can woo more international investors,0
IIFL Commodities behind NSEL defamation notice?,0
Two IIFL subsidiaries get investment adviser licence,0
IIFCL launches infrastructure bonds,0
Anshu Jain joins IIF board,0
IiAS names Hetal Dalal as COO,0
Chandrakala Padia to be IIAS first woman chairperson,0
Narendra Kumar takes over as IGL Managing Director,0
2G auction will not impact Idea Cellular,0
IDBI Federal Life elevates Vighnesh Shahane as CEO,0
BoR awaits legal view for ICICI-BoR merger,0
What to expect from ICICI Bank Q3 results?,0
Rajnikant Patel tipped to become ICEX CEO,0
IBMA reconstitutes board; appoints four new directors,0
"Hyundai Motor India promotes R Sethuraman, Rakesh Srivastava",0
Hyundai elevates R Sethuraman to board of directors,0
Two senior executives quit HULs modern trade division,0
Hong Kong shares end mixed as insurers weigh,0
Hindujas to raise $1 bn through Petromin IPO,0
Hinduja Ventures Q3 profit at Rs 23.53 crore,0
Range-bound markets help consolidate: HDFC Standard Life,0
HCL ropes in Chandrasekaran as No. 2,0
Sant Singh Chatwal-led Hampshire Hotels appoints new CEO,0
Gur prices ends quiet on scattered buying,0
KK Maheshwari appointed as Grasim MD,0
"India valuations are less compelling, says Goldman Sachs",0
China eyes gold market clout with new exchange,0
Should you bet on gold loan companies?,0
Catch the glow of gold,0
"Gold trading flat, reflecting overseas trend",0
Elections results to influence gold prices: Study,0
"Gold steadies above $1,250/oz before US jobs report",0
Gold steadies ahead of expected hawkish Fed moves,0
Gold steadies as buoyant equities balance Ukraine tensions,0
"GMR, investors rework their investment in GEL",0
Sridhar Krishnamoorthy to head Gerdau Steel India,0
Geojit posts Rs 20 crore profit in Q2,0
General Insurance Corporation to offer catastrophe bonds,0
"MCX-SX distances itself from FTIL, plans makeover",0
FTILs warrants sale hangs in balance,0
Foodgrain prices rule steady in wholesale market,0
What lies ahead for FMCG stocks,0
Weak monsoon could halt rally in FMCG stocks,0
FMC revises norms for surrendering membership of commexes,0
FMC unveils uniform warehouse accreditation norms for bourses,0
FMC mulls centre-specific commodity forward trades,0
We are reviewing shareholding guidelines: FMC chairman,0
Flipkart names Rajnish Baweja as its finance controller,0
Firstsource: Should you invest at the current levels?,0
Finolex Cables Q4 PAT at Rs 18.68 cr,0
Financial Technologies appears befor Sebi in MCX-SX case,0
Financial Technologies receives non-binding bids for its stake,0
Ficci establishes centre for corporate governance,0
Fiat Chrysler launches Ferrari IPO,0
Fed decision unlikely to calm markets: Fund managers,0
Fatpipe to raise Rs 49 cr through IPO,0
Brokerspicks: Morgan Stanley has equal-weight on Exide Industries,0
Everstone names L. Brooks Entwistle as group CEO,0
Are Europe-focused funds a good bet?,0
Staying active in flat European stock markets,0
European stock markets flat as glum outlook weighs,0
European shares steady ahead of ECB decision,0
European shares steady; all eyes on ECB,0
Euronext names new head of post-trade business,0
Euro back around $1.37 as ECB meets again,0
Euro is not too strong: Luc Coene,0
Euro remains steady ahead of ECB policy meeting,0
Eurex exchange says currently experiencing technical issues,0
Important support for EUR/USD lies at $1.3588/86,0
Ravi Ruia quits as Essar Energy chief,0
Rajeev Vasudeva appointed CEO of Egon Zehnder,0
Day Trading Guide by Edelweiss Securities,0
Day Trading Guide from Edelweiss Securities,0
DTC will not impact foreign investor fund inflows,0
DSP Blackrock moves Sebi for retirement fund,0
Dry fruit prices rule steady in tight movements,0
"A look at the Dow 1,000-point milestones",0
How the dollar impacts you,0
Dollar moves narrowly in Asia trade,0
Dollar steady in Asia ahead of Fed minutes,0
"Dollar supported by ECB talk, Japan election speculation",0
Pramod Bhasin to head DLF's rental business,0
Dhanlaxmi Bank board orders 3-year expenditure audit,0
Dhabriya Polywood lists on SME platform of BSE,0
"Deutsche sets Sensex target at 24,000 by December",0
Cyclicals to wait for concrete fundamentals: Nitin Raheja,0
Crude reserves filling to begin after March 2016,0
Crisil launches first inflation-linked government securities index,0
Commonfloor.com plans to launch IPO in 3-5 years,0
Commodities futures now part of supply chain,0
Look beyond annual contracts in commodity buying',0
Mixed trend prevailed in commodities market this week,0
Commexes extended trade hours hit a roadblock,0
Comfort Comtrade lists on BSE's SME platform,0
Colgate-Palmolive India appoints Prabha Parameswaran as MD,0
Coffee Day to list shares on Monday,0
Coffee Day IPO: Should you subscribe or avoid?,0
CNX IT holding the market: Ashwani Gujral,0
CLSA picks top 12 investment themes for 2014,0
Sameer Goel takes over as Cipla India head,0
Cipla to meet revised targets,0
Cipla appoints Adil Zainulbhai as an independent director,0
Sameer Goel takes over as Cipla's India head,0
"Despite discount, CIL staff cool to IPO",0
Ajay Shriram takes over as new CII President,0
China yuan sees respite from recent bruising,0
China yuan flat despite a two-month low midpoint,0
China yuan pinned steady by central bank guidance,0
China stocks close mixed ahead of 'connector' launch,0
China stock offers to resume next week: Companies,0
China Overseas Land braves market with euro bonds,0
China markets calm in thin trade,0
Cerebra snaps winning streak as traders corner co,0
Central Depository Services plans Rs 400 crore IPO,0
Care reports flat net in Q3,0
Carborundum Universal posts Rs 49 cr Q4 profit,0
Caldwell looks to raise stake in BSE,0
BSNL IPO may happen next fiscal: Disinvestment Secretary,0
Muhurat trading at BSE and NSE on Diwali,0
BSE Sensex rangebound; Nifty holds 7600 levels,0
BSE revises circuit limit for 405 stocks,0
BSE increases lot-size of foreign index derivatives contracts,0
"BSE plans international exchange in Gujarat, commodity bourse",0
BSE to begin charging for currency derivatives trade,0
BSE to introduce new group 'W' from Friday,0
BSE tweaks minimum base capital rules for brokers,0
BS Transcomm debuts at Rs 257/share on NSE,0
BS Transcomm IPO looks costlier than peers:Nirmal Bang,0
Vinita Bali steps down as Britannia Managing Director,0
Record open interest points to Brent price support,0
Bonds now move in tandem with stocks,0
Bonds little changed; treasury bills auction in focus,0
Bond yields steady ahead of buyback results,0
Bond yields steady; treasury bill outcome watched,0
Bond yields little changed; buyback news to support,0
Fruitful talks held with Bharti on mobile industry,0
BGR Energy can test 370 levels: Mitesh Thacker,0
Several Belgian companies tie up with domestic companies,0
"Barclays appoints heads of equities for India, Korea",0
Analysts' recommendations on banking stocks,0
Too early to buy banking stocks: Deepak Mohoni,0
Bank Nifty may consolidate: Mitesh Thacker,0
Stock-specific action likely; all eyes on Bank Nifty,0
Bajaj Auto Q2 net at Rs 591 crore,0
Bafna Pharmaceuticals proposes to raise funds,0
Australia shares end flat ahead of bank results,0
Australia shares seen steady ahead of emergency summit,0
Aster Silicates IPO opens on Thursday,0
GST is a brahmastra to kick-start GDP: Assocham,0
Asian stocks mixed after Wall Street records,0
Hold on to Asian Paints: Deven Choksey,0
Asian Paints Q3 net at Rs 329.35 cr,0
"Asian currencies mixed, await US jobs data",0
Asia shares mixed after new Wall Street record,0
Asia Index launches S&P BSE dividend stability index,0
Asia to test bond record again in 2015,0
Ashoka Buildcon to issue shares to institutional investors,0
Ashok Leyland vice chairman V Sumantran resigns,0
Dheeraj Hinduja appointed Chairman of Ashok Leyland,0
ArthVeda Capital to launch Smart Alpha indices,0
"Apple Inc announces seven-part bond for buybacks, dividends",0
Fundamentally markets are fairly priced: Angel Broking,0
Ameriprise Financial closes financial planning division in India,0
Amar Ujala files IPO papers with Sebi,0
Sanjiv Mediratta joins Amalgamated Bean Coffee Trading Company,0
India's Lalita Gupte finds place in Alstom's Board,0
AkzoNobel India appoints Jayakumar Krishnaswamy as managing director,0
Air India bond sale extended to September 26,0
Adlabs Entertainment to make market debut on Monday,0
"ADAG identifies rogue brokers, seeks SEBI action",0
ABN Amro IPO values bank at $17.9 billion,0
Early triggers coming into ABG Shipyard: Rajesh Jain,0
ABB relying on short-term orders to lower risk,0
A2Z Engg plans Rs 350-cr public issue,0
Markets may move in 8000-8200 range,0
3i Infotech to begin talks for bond refinancing: Source,0
5150-5300 the big base for Nifty this year: IL&FS,0
7050 to 7080 cash level for Nifty: Ashwani Gujral,0
Abhay Kumar Singh is new CEO of SBI Cards,0
Alibaba set to price IPO shares amid investor frenzy,0
"Alkem Laboratories prices IPO at Rs 1,050 per share",0
Ambit Capital appoints Saurabh Mukherjea as Head of Equities,0
Amit Akali calls it quits at Grey Worldwide India,0
Anil Dua quits Hero MotoCorp; to pursue career abroad,0
Ansuman Das takes over as full-time CMD of NALCO,0
Arbitrageurs building positions in natural gas counter on MCX,0
"Arcil to pick stake in Spic, come on board",0
Arun Gupta appointed CMD of Shipping Corporation of India,0
Ashok Vidyasagar appointed as senior VP of Endemol India,0
"Asia stocks muted as China data, Wall St weighed",0
"Atanu Sen becomes new MD, CEO of SBI Life",0
Axis Bank foreign shareholding crosses 49 per cent limit,0
Banking stocks to see lot of traction: Mitesh Thacker,1
Bayer CropScience plans Rs 455 crore share buyback offer,0
Bosch appoints Guenter Weber as regional president in India,0
Bourses ask companies to comply with corporate governance norms,0
BPCL hires four banks for US dollar bond offering,0
Brokerages have mixed views on Wipro post Q4 results,0
Brokers seek reduction in option trading charges at NSE,0
BSE and NSE announce trading holiday on April 24,0
"BSE opens investor centres at Lucknow, Vadodara and Patna",0
BSE to foray into commodities trading with new platform,0
CCD may be valued at $1bn in April IPO,0
Ceat fairly priced at the current levels: Nitin Raheja,0
Central Bank of India housing finance subsidiary eyes IPO,0
Century Textiles posts Rs 1.58 crore profit in Q3,0
China funds raise equity allocations as buy-in opportunities rise,0
China slaps restrictions on 7 securities and futures institutions,0
China yuan almost unchanged after moving in narrow range,0
Choose NBFCs which have muliple products including insurance:Prateek Agarwal,0
Coal India board appoints M Viswanathan as Company Secretary,0
Cosmo Films to raise Rs 100 crore through QIP,0
Create framework to fight cyber attacks on markets: Sebi,0
Dalit Entrepreneurs celebrate the launch of Dicci's Mumbai chapter,0
David Lau appointed GM of Singapore Airlines in India,0
Did Federal Reserve's Janet Yellen just enter currency wars?,0
DLF asked to give fund-requirement plans for interim relief,0
Do not see Nifty testing 8000 levels: UR Bhat,0
Does Sesa Sterlite look attractive as SC lifts ban?,0
Dollar steadies in Asian markets despite weak GDP data,0
Ennore Port to approach Shipping Ministry for IPO approval,0
Espirito Santo Securities appoints Premal Madhavji as Equities Head,0
Eveready Industries records Q4 profit at Rs 5.44 crore,0
Expect Nifty to hover around 5950-6100 levels: Mitesh Thacker,0
Expect Nifty to hover around 5950-6100 levels: Sandeep Wagle,0
"Expect Nifty50 to trade in 7,700-7850 range: Mitesh Thacker",0
F&O Tracker: Nifty likely to cap resistance at 6270,0
F&O: Next support of Nifty seen around 5000 levels,0
Financial Technologies investors have a tough call to make,0
Force Motors Q3 net profit at Rs 9.99 crore,0
Fortis Healthcare December quarter profit at Rs 389.09 crore,0
Gammon India to issue Rs 100-crore debentures to promoters,0
"Get ready to test 8,650-8,700 on Nifty: Sandeep Wagle",0
Global design pact: IKEA to rope in NIFT students,0
"Gold steady near $1,160; US dollar, data in focus",0
Gopal Vittal to be managing director at Bharti Airtel,0
Government plans to curb RBI role in financial markets,0
Govt goes on hunt for a new FMC chief,0
Growth more promising in midsize IT companies: Deven Choksey,1
Has RIL turned the corner? Some analysts think so,0
Have stock-specific view on consumer durables space: Hemindra Hazari,0
HCL Q3 Results: Five things to watch out for,0
HDFC seeks to raise Rs 1000 crore via bonds,0
"Healing process continues, investors need to be patient: CLSA",0
Heard on the street: Dabba trading on Sebi radar,0
Heidelberg Cement India to raise Rs 370-cr through NCDs,0
Heritage Foods to reward shareholders with 1:1 bonus issue,0
Hero MotoCorp appoints Sanjay Jorapur as Chief HR Officer,0
IDBI looking at FPO to shore up capital base,0
IDFC ex-MD Nikhil Vora fund gets first mega investor,0
"IDFC to remain in 120-140 range, says Jagannadham Thunuguntla",0
IEA says oil supply boost may defer market tightening,0
Immediate support for rupee is placed at 55.10: Bonanza,-1
"Immediate target for Nifty is 6230-6250: Sandeep Wagle, APTART",0
Indian markets not trading at cheap valuations: Anish Damania,0
"IndiGo set to launch Rs 2,500-crore initial public offering",0
Infosys' March guidance for next fiscal is very crucial,0
Infosys Q4 results: Five things to watch out for,0
Insecticides India's Q4 net profit at Rs 6.13 crore,0
"Investors on sidelines ahead of US holiday, ECB meeting",0
"IOC investor roadshows in Singapore, Hong Kong this week",0
Is this a good time to purchase gold jewellery?,0
"IT companies will continue to deliver, says Dipan Mehta",1
J P Chalasani joins Punj Lloyd as Group CEO,0
"Jindal Stainless rejig: Shareholders, creditors meet on May 16",0
Jupiter Infomedia to list on SME platform of BSE,0
Jyotivardhan Jaipuria leads exit of senior analysts at BofA-ML,0
K K Agarwal takes over as NTPC Regional ED,0
Kartik Kaushik to lead Citi India's consumer banking division,0
Keki Mistry joins advisory board of Cox & Kings,0
Komli Media CEO Prashant Mehta quits for personal reasons,0
L&T Finance case: Factorial says will cooperate with Sebi,0
