Text,Sentiment
Intel to spend US$20b on new US chip plants,0
ByteDance unit to acquire video games studio Moonton Technology,0
Intel Chairman planning up to US$1b health-tech SPAC IPO,0
Uber to buy remaining stake in online grocer Cornershop,0
Saudi group buys Mumzworld in landmark Mid-East deal,0
UK's Johnson to visit India at end of April,0
Philippines says rice importers may shift to cheaper Indian grains,0
"Toshiba to buy back 6% of shares, pay special dividend",0
Tyson Foods to launch plant-based food in Asia-Pacific,0
Nestle updating nutrition and health strategy,0
Apple to open more stores even as pandemic drives online sales,0
TikTok begins testing in-app shopping to challenge Facebook,0
OCBC Cycle to feature a mix of on-site and virtual events,0
Amazon buying MGM for US$8.45 billion,0
Alibaba leads US$400m investment in Vietnam retail giant,0
DBS starts trading on London Metal Exchange,0
"Slower population growth, ageing need not be alarming: economists",0
South-east Asian marketers spend US$244m to acquire users as demand for fintech apps rise in 2020,0
"Biden, bipartisan senators reach deal on $953B infrastructure compromise",0
JPMorgan buys stake in Robert Kraft's sports-data company,0
Former President Trump visits southern border,0
President Biden announces bipartisan infrastructure bill,0
EU investigates Google's conduct in digital ad tech sector,0
Biden meets with financial regulators to talk climate change,0
Biden calls on Congress to reform US gun laws,0
Putin will be 'assessing' Biden during meeting,0
Biden-Putin Geneva meeting to focus on cyber-hacking tensions,0
"Apple investing $430B in US, North Carolina campus first on East Coast",0
"Greek, Turkish foreign ministers to meet in Ankara in April",0
Today's market: What investors are most concerned with,0
India’s southern states show resilience amid Covid catastrophe,1
"US adds 559,000 jobs in May as unemployment falls to 5.8%",1
UK records zero Covid deaths for first time in over a year,1
Brazil’s GDP surges back to pre-pandemic levels,1
Italy’s revised GDP figures show country sidestepping recession,1
Pandemic provides unexpected boost to UK’s productivity prospects,1
Biden’s green push delivers boost to fossil fuel companies,1
UK employment picks up as restrictions ease,1
Indian airline boss prospers in pandemic by pivoting to healthcare,1
Porto property weathers the storm,1
Indian doctors protest against guru who claims yoga can defeat Covid,1
Top builder says the housing boom isn't over just yet,1
Amazon wants to make your life easier. Here's how it's changing grocery shopping,1
Retail sales fell last month. But stores are still expecting a strong year,1
Six Big Stocks Post Exciting Fast Gains In This 'Dull' Market,1
3 dividend stocks you can safely hold for decades,1
"S&P 500 Hits Another Record, Boosted by Bank Stress Tests, Infrastructure Deal; Dow Outperforms NASDAQ",1
Biden’s infrastructure plan could push more cities to offer internet service directly,1
"UK coronavirus vaccines have weakened link between infections and death, says scientist",1
World’s Biggest Carbon Market to Get Stronger in EU Green Shift,1
The U.S. economy is still improving,1
Rising interest rates are a good sign for stocks,1
American manufacturing is roaring back,1
There's no reason to worry about inflation in 2021,1
The IPO Market Has Never Been Hotter Than It Is Right Now,1
South Korean companies offer employees Covid-19 vaccines at work,1
"Singapore, Bangladesh urged to collaborate on enhancing connectivity",1
Eurozone business growth at 15-year high as demand unleashed,1
UK to go easy on firms with unpaid taxes during pandemic,1
Hong Kong jobless rate falls third straight month to one-year low,1
"UK manufacturers report swift recovery, more investment",1
UK economy grows 2.3% in April as lockdown eases,1
US weekly jobless claims fall to the lowest level in nearly 15 months,1
European companies plan to invest more in China after pandemic,1
"Singapore unemployment situation keeps improving in April for citizens, residents",1
Q1 business investment booms in boost to economy,1
Indonesia sets up new ministry to make country more investor-friendly,1
Hong Kong ends longest recession in decades,1
More aid arrives in India as it struggles with Covid,1
US economy accelerates in Q1 and jobless claims edge lower,1
US consumer confidence hits post-pandemic high,1
"South Korea Q1 GDP beats expectations on investment, export bounce",1
Eurozone economy picks up as manufacturing booms,1
Singapore corruption-related reports fall to lowest in 5 years,1
UK unemployment falls again under government's jobs shield,1
"How a smart digital payment system helps 6,000 SMEs boost productivity",1
Google pledges US$7b investment to create jobs in the US,1
Australia unemployment drops to 5.8% as recovery strengthens,1
LG Display posts strong Q1 profit on panel price boost,1
"Sony Q4 profit doubles, helped by gaming, movies and other content",1
"factory activity extends growth in Feb, input costs soar: PMI",1
UK PM Johnson says optimistic about fully reopening in June,1
US import prices post biggest gain since 2012,1
How Michigan is bouncing back after a tough year,1
"US economy expanded by 6.4% in first quarter, pointing to fastest growth in years",1
Summer job market for teens is sweet,1
Stock futures poised for gains to end the week,1
U.S. equity futures were trading higher the morning after the S&P 500 notched another record high despite a surge in consumer prices in May,1
"China, US commerce chiefs to cooperate on handling differences, Beijing says",1
Stock investors celebrate red-hot five-quarter run,1
Wall Street’s roaring 2021 is as good as it gets,1
Investor sees 'incredibly strong earnings' in June payrolls report,1
